,OrdereinstellungenAnzahl,GeschaefteAnzahl,GeschaefteKurswert,OrderloeschungenAnzahl,OrderaenderungenAnzahl,KurswertMedian,OrdereinstellungenWertMedian,MarketMakerAnzahl,ISIN,date
425,135,1,500.5,0,0,500.5,0,1,DE000LS78KP7,2020-12-01
426,2,1,648.0,0,0,648.0,300,1,DE000LS715Z6,2020-12-01
427,13,3,5283.5,0,0,1195.0,1000,1,NO0010791353,2020-12-01
432,1,1,1998.0,0,0,1998.0,540,1,KYG2108Y1052,2020-12-01
433,1,1,1825.0,0,0,1825.0,500,1,DE000LS8H350,2020-12-01
434,166,1,1096.05,0,0,1096.05,12,1,LU1681039480,2020-12-01
435,63,4,660.36,0,0,24.0,1,1,DE000A2LQ900,2020-12-01
437,1,1,70.36,0,0,70.36,1,1,DE000ETFL227,2020-12-01
438,1,1,113.92,0,0,113.92,1,1,LU0292106084,2020-12-01
439,142,5,14101.0,0,0,765.6,0,1,DE000A1K0235,2020-12-01
440,1,1,5251.2,0,0,5251.2,600,1,IE00BJQTJ848,2020-12-01
442,101,10,33959.14,0,0,984.0,1,1,US00507V1098,2020-12-01
443,4,2,34900.0,0,0,17450.0,10,1,CH0020739006,2020-12-01
446,1,1,4110.0,0,0,4110.0,3000,1,DE000LS8HU52,2020-12-01
447,1,1,1111.0,0,0,1111.0,22,1,US24344T1016,2020-12-01
448,11,2,3261.15,0,0,2370.0,40,1,DE000ETFL235,2020-12-01
449,2,2,22908.16,0,0,22297.0,110,1,LU0321463506,2020-12-01
450,395,4,12500.0,0,0,3155.0,322,1,DE000LS8HD38,2020-12-01
451,23,7,9411.0,0,0,451.0,800,1,DE000LS8JJ97,2020-12-01
452,10,4,5114.59,0,0,1212.95,5,1,DE000LS9JTR0,2020-12-01
453,134,3,5789.75,0,0,1942.5,0,1,DE000A1K0227,2020-12-01
456,2,1,1440.0,0,0,1440.0,800,1,DE000LS8GA24,2020-12-01
457,210,28,173978.78,0,0,2831.2,130,1,GB00B03MM408,2020-12-01
458,4,1,1600.0,0,0,1600.0,1,1,BMG702781094,2020-12-01
459,21,17,147388.875,0,0,984.47,34,1,IE00B95PGT31,2020-12-01
460,9,1,19065.0,0,0,19065.0,250,1,FR0010242511,2020-12-01
461,34,2,3238.7,0,0,2420.55,1,1,DE000LS9MLY7,2020-12-01
462,85,6,18373.63,0,0,1809.6,40,1,IE00B8GKDB10,2020-12-01
464,12,1,7025.0,0,0,7025.0,2000,1,DE000LS8H2R8,2020-12-01
465,43,3,2676.5,0,0,673.5,500,1,JE00B5TT1872,2020-12-01
466,9,2,6505.21,0,0,4001.632,231,1,DE000A0F5UJ7,2020-12-01
467,1,1,1326.6,0,0,1326.6,10,1,LU1834983634,2020-12-01
469,1,1,2370.0,0,0,2370.0,3000,1,DE000LS8H335,2020-12-01
471,124,14,113559.284,0,0,4583.25,85,1,IE0031442068,2020-12-01
472,1,1,1160.8,0,0,1160.8,5,1,IE00B1FZS806,2020-12-01
476,2,1,1298.0,0,0,1298.0,250,1,DE000LS8HD20,2020-12-01
478,1,1,238.16,0,0,238.16,1,1,LU1681040496,2020-12-01
479,1,1,455.0,0,0,455.0,500,1,DE000LS8D7D1,2020-12-01
481,3,1,228.25,0,0,228.25,1,1,US89853L1044,2020-12-01
483,86,20,16420.72,0,0,512.5,233,1,DE000LS631A8,2020-12-01
484,1,1,318.0,0,0,318.0,200,1,DE000LS7FU63,2020-12-01
485,1,1,188.0,0,0,188.0,50,1,DE000LS63SD8,2020-12-01
486,18,3,3620.0,0,0,1320.0,6000,1,DE000LS75SE0,2020-12-01
487,94,20,111469.21,0,0,2502.5,69,1,DE000A0F5UH1,2020-12-01
488,1,1,532.0,0,0,532.0,175,1,DE000LS8GR17,2020-12-01
